nPixels        	time          	caltime        	pixmem         
100            	0.000020       	0.000016       	1010           
400            	0.000008       	0.000006       	4020           
900            	0.000010       	0.000008       	9030           
1600           	0.000015       	0.000012       	16040          
2500           	0.000022       	0.000017       	25050          
3600           	0.000029       	0.000023       	36060          
4900           	0.000040       	0.000031       	49070          
6400           	0.000050       	0.000039       	64080          
8100           	0.000062       	0.000048       	81090          
10000          	0.000081       	0.000063       	100100         
12100          	0.000087       	0.000067       	121110         
14400          	0.000107       	0.000083       	144120         
16900          	0.000128       	0.000099       	169130         
19600          	0.000157       	0.000122       	196140         
22500          	0.000182       	0.000141       	225150         
25600          	0.000199       	0.000154       	256160         
28900          	0.000223       	0.000172       	289170         
32400          	0.000249       	0.000193       	324180         
36100          	0.000274       	0.000212       	361190         
40000          	0.000317       	0.000245       	400200         
44100          	0.000351       	0.000272       	441210         
48400          	0.000377       	0.000291       	484220         
52900          	0.000412       	0.000319       	529230         
57600          	0.000448       	0.000347       	576240         
62500          	0.000502       	0.000388       	625250         
67600          	0.000570       	0.000441       	676260         
72900          	0.000598       	0.000463       	729270         
78400          	0.000633       	0.000490       	784280         
84100          	0.000716       	0.000554       	841290         
90000          	0.000726       	0.000562       	900300         
96100          	0.000801       	0.000620       	961310         
102400         	0.000866       	0.000670       	1024320        
108900         	0.000891       	0.000690       	1089330        
115600         	0.000960       	0.000743       	1156340        
122500         	0.000992       	0.000768       	1225350        
129600         	0.001098       	0.000850       	1296360        
136900         	0.001145       	0.000886       	1369370        
144400         	0.001253       	0.000969       	1444380        
152100         	0.001451       	0.001123       	1521390        
160000         	0.001356       	0.001049       	1600400        
168100         	0.001441       	0.001115       	1681410        
176400         	0.001651       	0.001278       	1764420        
184900         	0.001517       	0.001174       	1849430        
193600         	0.001622       	0.001255       	1936440        
202500         	0.001751       	0.001355       	2025450        
211600         	0.001812       	0.001402       	2116460        
220900         	0.001907       	0.001476       	2209470        
230400         	0.001941       	0.001502       	2304480        
240100         	0.002074       	0.001605       	2401490        
250000         	0.002121       	0.001641       	2500500        
260100         	0.003047       	0.002358       	2601510        
270400         	0.002251       	0.001742       	2704520        
280900         	0.002394       	0.001853       	2809530        
291600         	0.002537       	0.001964       	2916540        
302500         	0.002591       	0.002005       	3025550        
313600         	0.002662       	0.002060       	3136560        
324900         	0.002761       	0.002137       	3249570        
336400         	0.003023       	0.002339       	3364580        
348100         	0.003023       	0.002340       	3481590        
360000         	0.003105       	0.002403       	3600600        
372100         	0.003253       	0.002517       	3721610        
384400         	0.003308       	0.002560       	3844620        
396900         	0.003356       	0.002597       	3969630        
409600         	0.003493       	0.002703       	4096640        
422500         	0.003748       	0.002901       	4225650        
435600         	0.003708       	0.002870       	4356660        
448900         	0.003864       	0.002990       	4489670        
462400         	0.003999       	0.003094       	4624680        
476100         	0.004087       	0.003163       	4761690        
490000         	0.004247       	0.003287       	4900700        
504100         	0.004414       	0.003416       	5041710        
518400         	0.004465       	0.003455       	5184720        
532900         	0.004637       	0.003589       	5329730        
547600         	0.004801       	0.003716       	5476740        
562500         	0.004849       	0.003753       	5625750        
577600         	0.004846       	0.003750       	5776760        
592900         	0.005140       	0.003978       	5929770        
608400         	0.005265       	0.004075       	6084780        
624100         	0.005389       	0.004170       	6241790        
640000         	0.005633       	0.004359       	6400800        
656100         	0.005783       	0.004475       	6561810        
672400         	0.006024       	0.004662       	6724820        
688900         	0.005995       	0.004639       	6889830        
705600         	0.006140       	0.004751       	7056840        
722500         	0.006468       	0.005006       	7225850        
739600         	0.006477       	0.005013       	7396860        
756900         	0.006604       	0.005111       	7569870        
774400         	0.006954       	0.005382       	7744880        
792100         	0.006971       	0.005395       	7921890        
810000         	0.007041       	0.005449       	8100900        
828100         	0.007364       	0.005699       	8281910        
846400         	0.007473       	0.005783       	8464920        
864900         	0.007485       	0.005793       	8649930        
883600         	0.007778       	0.006020       	8836940        
902500         	0.007881       	0.006099       	9025950        
921600         	0.008127       	0.006289       	9216960        
940900         	0.008115       	0.006280       	9409970        
960400         	0.008543       	0.006612       	9604980        
980100         	0.008783       	0.006797       	9801990        
1000000        	0.008890       	0.006880       	10001000       
